Slicing category: workclass
| Categorical Value | Precision | Recall | fbeta |
| Dominican-Republic            |   0.33 |    0.5 |    0.4 |
| El-Salvador                   |    0.8 |   0.89 |   0.84 |
| France                        |   0.78 |   0.58 |   0.67 |
| Guatemala                     |      1 |   0.33 |    0.5 |
| China                         |   0.63 |   0.85 |   0.72 |
| Japan                         |   0.74 |   0.71 |   0.72 |
| Yugoslavia                    |    0.6 |    0.5 |   0.55 |
| Peru                          |      1 |    0.5 |   0.67 |
| Outlying-US(Guam-USVI-etc)    |      1 |      1 |      1 |
| Scotland                      |      1 |   0.67 |    0.8 |
| Trinadad&Tobago               |      1 |    0.5 |   0.67 |
| Greece                        |   0.55 |   0.75 |   0.63 |
| Nicaragua                     |      0 |      0 |      0 |
| Vietnam                       |   0.25 |    0.2 |   0.22 |
| Hong                          |   0.83 |   0.83 |   0.83 |
| Ireland                       |      1 |    0.6 |   0.75 |
| Hungary                       |      1 |   0.33 |    0.5 |
| Holand-Netherlands            |      1 |      1 |      1 |
